,sale_date,neighborhood
801,2009-04-23,Outer Sunset
802,2016-03-22,Outer Sunset
803,2014-08-22,Outer Sunset
804,2016-03-07,Outer Sunset
805,2018-11-20,Outer Sunset
806,2014-01-16,Outer Sunset
807,2010-12-10,Outer Sunset
808,2016-07-15,Outer Sunset
809,2016-03-14,Outer Sunset
810,2012-04-13,Outer Sunset
811,2017-01-18,Outer Sunset
812,2018-11-26,Outer Sunset
813,2009-07-08,Outer Sunset
814,2017-11-17,Outer Sunset
815,2013-07-31,Outer Sunset
816,2011-12-30,Outer Sunset
817,2013-06-17,Outer Sunset
818,2014-11-18,Outer Sunset
819,2011-03-11,Sutro Heights
820,2018-01-17,Outer Sunset
821,2011-04-28,Outer Sunset
